date,inpatient_beds,state,series_complete_yes,booster_doses
2022-01-16,540573.3,SC,2767027.1428571427,958154.0
2022-01-16,540573.3,RI,822056.8571428572,388679.71428571426
2022-01-16,540573.3,SD,511834.28571428574,187419.42857142858
2022-01-16,540573.3,TN,3541660.8571428573,1349400.857142857
2022-01-16,540573.3,WY,278178.85714285716,105923.42857142857
2022-01-16,540573.3,UT,1908255.857142857,633293.5714285715
2022-01-16,540573.3,VA,5867246.0,2386246.1428571427
2022-01-16,540573.3,VI,54307.28571428572,13751.857142857143
2022-01-16,540573.3,VT,489099.0,260894.85714285713
2022-01-16,540573.3,WA,5224732.142857143,2208785.285714286
2022-01-16,540573.3,WI,3648232.5714285714,1776853.2857142857
2022-01-16,540573.3,WV,995359.5714285715,401277.85714285716
2022-01-16,540573.3,MS,1456854.7142857143,453779.0
2022-01-16,540573.3,PR,2482301.285714286,815925.4285714285
2022-01-16,540573.3,TX,16723002.714285715,5265239.571428572
2022-01-16,540573.3,MP,41233.142857142855,15259.857142857143
2022-01-16,540573.3,MN,3732628.0,1870358.0
2022-01-16,540573.3,MO,3284842.1428571427,1190756.5714285714
2022-01-16,540573.3,AK,416001.5714285714,154534.0
2022-01-16,540573.3,AL,2364990.8571428573,709346.4285714285
2022-01-16,540573.3,AR,1563745.0,524653.7142857143
2022-01-16,540573.3,AS,36090.857142857145,4272.428571428572
2022-01-16,540573.3,AZ,4207427.142857143,1417205.857142857
2022-01-16,540573.3,CA,26529523.85714286,10035950.285714285
2022-01-16,540573.3,CT,2693137.714285714,1159188.4285714286
2022-01-16,540573.3,DC,483103.28571428574,145931.14285714287
2022-01-16,540573.3,DE,632333.2857142857,238501.85714285713
2022-01-16,540573.3,FL,13744442.57142857,4778169.571428572
2022-01-16,540573.3,GA,5486823.142857143,1687757.0
2022-01-16,540573.3,CO,3854917.5714285714,1709072.5714285714
2022-01-16,540573.3,HI,0.0,0.0
2022-01-16,540573.3,MI,5737493.714285715,2595294.5714285714
2022-01-16,540573.3,GU,128313.71428571429,36073.57142857143
2022-01-16,540573.3,ME,1029865.8571428572,499014.0
2022-01-16,540573.3,MD,4311972.285714285,1809018.4285714286
2022-01-16,540573.3,MA,5185756.571428572,2243572.285714286
2022-01-16,540573.3,KY,2446998.285714286,944576.0
2022-01-16,540573.3,LA,2363435.1428571427,807377.8571428572
2022-01-16,540573.3,IN,3533928.0,1373471.857142857
2022-01-16,540573.3,IL,8239610.0,3533882.285714286
2022-01-16,540573.3,ID,832323.4285714285,340908.14285714284
2022-01-16,540573.3,IA,1878952.0,891223.8571428572
2022-01-16,540573.3,KS,1681427.2857142857,618976.0
2022-01-23,540351.6,NY,14273533.57142857,5524121.142857143
2022-01-23,540351.6,OR,2843967.0,1296785.4285714286
2022-01-23,540351.6,OK,2160646.1428571427,733070.5714285715
2022-01-23,540351.6,OH,6580152.285714285,3135590.5714285714
2022-01-23,540351.6,NV,1781343.2857142857,606931.8571428572
2022-01-23,540351.6,NC,6070261.0,1403990.5714285714
2022-01-23,540351.6,NJ,6387361.428571428,2553115.4285714286
2022-01-23,540351.6,NH,928605.5714285715,168347.2857142857
2022-01-23,540351.6,NE,1180344.2857142857,530909.0
2022-01-23,540351.6,ND,408559.0,159063.7142857143
2022-01-23,540351.6,PA,8341549.714285715,3134832.0
2022-01-23,540351.6,NM,1419558.2857142857,622876.1428571428
2022-01-23,540351.6,PR,2502756.0,893858.4285714285
2022-01-23,540351.6,WY,283739.4285714286,110659.71428571429
2022-01-23,540351.6,SC,2799229.4285714286,1001912.5714285715
2022-01-23,540351.6,SD,516121.71428571426,193814.42857142858
2022-01-23,540351.6,TN,3572127.714285714,1399312.5714285714
2022-01-23,540351.6,TX,16868336.85714286,5530993.571428572
2022-01-23,540351.6,UT,1925396.142857143,665857.8571428572
2022-01-23,540351.6,VA,5963332.571428572,2498729.5714285714
2022-01-23,540351.6,VI,54692.71428571428,14310.857142857143
2022-01-23,540351.6,VT,492269.85714285716,272332.0
2022-01-23,540351.6,WA,5279783.571428572,2331294.714285714
2022-01-23,540351.6,WI,3670220.285714286,1850351.7142857143
2022-01-23,540351.6,WV,1000534.1428571428,413553.0
2022-01-23,540351.6,MT,586221.5714285715,252970.57142857142
2022-01-23,540351.6,RI,827745.0,400224.14285714284
2022-01-23,540351.6,MS,1474356.142857143,486739.71428571426
2022-01-23,540351.6,HI,0.0,0.0
2022-01-23,540351.6,MO,3311019.714285714,1253021.5714285714
2022-01-23,540351.6,AL,2393504.8571428573,742738.2857142857
2022-01-23,540351.6,AR,1576491.4285714286,549874.2857142857
2022-01-23,540351.6,AS,36594.142857142855,4638.142857142857
2022-01-23,540351.6,AZ,4241051.857142857,1497584.5714285714
2022-01-23,540351.6,CA,26859641.0,10713465.42857143
2022-01-23,540351.6,CO,3893295.8571428573,1789341.0
2022-01-23,540351.6,CT,2709918.0,1220847.2857142857
2022-01-23,540351.6,DC,488889.5714285714,153135.2857142857
2022-01-23,540351.6,DE,638276.5714285715,250428.0
2022-01-23,540351.6,FL,13858668.285714285,4973460.571428572
2022-01-23,540351.6,GA,5549631.0,1782383.7142857143
2022-01-23,540351.6,GU,129144.71428571429,39154.0
2022-01-23,540351.6,AK,422707.28571428574,160830.0
2022-01-23,540351.6,IA,1890627.142857143,919457.7142857143
2022-01-23,540351.6,MN,3753733.285714286,1946213.142857143
2022-01-23,540351.6,MI,5770263.0,2700857.4285714286
2022-01-23,540351.6,ME,1035767.8571428572,520571.71428571426
2022-01-23,540351.6,MP,41646.142857142855,16094.57142857143
2022-01-23,540351.6,MA,5224783.285714285,2373040.714285714
2022-01-23,540351.6,MD,4350617.428571428,1917773.4285714286
2022-01-23,540351.6,KY,2467261.0,986476.1428571428
2022-01-23,540351.6,KS,1701482.142857143,648723.5714285715
2022-01-23,540351.6,IN,3557393.8571428573,1458590.2857142857
2022-01-23,540351.6,IL,8296465.428571428,3725711.4285714286
2022-01-23,540351.6,ID,845980.1428571428,354484.71428571426
2022-01-23,540351.6,LA,2384764.0,841848.0
2022-01-30,532827.3,OR,2855615.0,1360284.5714285714
2022-01-30,532827.3,OK,2175870.8571428573,756397.0
2022-01-30,532827.3,OH,6618719.857142857,3226184.8571428573
2022-01-30,532827.3,NY,14373533.142857144,5765745.857142857
2022-01-30,532827.3,ND,410598.5714285714,161633.14285714287
2022-01-30,532827.3,NM,1429251.5714285714,647467.7142857143
2022-01-30,532827.3,NJ,6430626.857142857,2669765.285714286
2022-01-30,532827.3,NH,933271.5714285715,176608.85714285713
2022-01-30,532827.3,NE,1187541.2857142857,548770.5714285715
2022-01-30,532827.3,PA,8392624.42857143,3299246.4285714286
2022-01-30,532827.3,NV,1795071.2857142857,629938.4285714285
2022-01-30,532827.3,PR,2524088.285714286,1002835.7142857143
2022-01-30,532827.3,VA,6012687.285714285,2560919.714285714
2022-01-30,532827.3,SC,2819583.8571428573,1028294.5714285715
2022-01-30,532827.3,SD,519527.14285714284,199532.42857142858
2022-01-30,532827.3,TN,3592362.8571428573,1433444.0
2022-01-30,532827.3,TX,17003625.0,5747963.142857143
2022-01-30,532827.3,UT,1940349.142857143,707017.5714285715
2022-01-30,532827.3,VI,55076.42857142857,14749.42857142857
2022-01-30,532827.3,VT,494460.0,279405.14285714284
2022-01-30,532827.3,WA,5315670.0,2452840.4285714286
2022-01-30,532827.3,WI,3691204.0,1915831.0
2022-01-30,532827.3,WV,1004775.0,424064.28571428574
2022-01-30,532827.3,WY,287765.85714285716,114713.85714285714
