date,state,inpatient_beds
2022-02-06,MP,50.0
2022-02-06,MS,5368.5
2022-02-06,MT,1774.9
2022-02-06,NC,17012.9
2022-02-06,ND,1520.6
2022-02-06,NE,3152.5
2022-02-06,NH,2059.3
2022-02-06,NJ,13661.2
2022-02-06,NM,2793.1
2022-02-06,NV,5714.2
2022-02-06,NY,34122.0
2022-02-06,OH,20514.1
2022-02-06,OK,6374.5
2022-02-06,OR,5545.8
2022-02-06,PA,23260.3
2022-02-06,PR,4799.1
2022-02-06,RI,1685.8999999999999
2022-02-06,SC,8186.599999999999
2022-02-06,SD,1368.2
2022-02-06,TN,13034.3
2022-02-06,TX,45211.6
2022-02-06,UT,3196.2
2022-02-06,VA,12081.9
2022-02-06,VI,104.6
2022-02-06,VT,826.6
2022-02-06,WA,9455.9
2022-02-06,WI,7920.5
2022-02-06,WV,3890.8
2022-02-06,WY,599.7
2022-02-13,AK,785.7
2022-02-13,AL,10366.6
2022-02-13,AR,5682.9
2022-02-13,AS,78.9
2022-02-13,AZ,11164.1
2022-02-13,CA,49124.2
2022-02-13,CO,6963.6
2022-02-13,CT,5897.5
2022-02-13,DC,2232.5
2022-02-13,DE,1973.6
2022-02-13,FL,43191.4
2022-02-13,GA,15427.9
2022-02-13,GU,208.0
2022-02-13,HI,1921.9
2022-02-13,IA,4619.0
2022-02-13,ID,1993.8
2022-02-13,IL,19656.5
2022-02-13,IN,10944.5
2022-02-13,KS,4692.5
2022-02-13,KY,7685.1
2022-02-13,LA,8626.1
2022-02-13,MA,13395.8
2022-02-13,MD,8133.8
2022-02-13,ME,2137.2
2022-02-13,MI,15919.800000000001
2022-02-13,MN,7424.1
2022-02-13,MO,12024.1
2022-02-13,MP,49.3
2022-02-13,MS,5349.4
2022-02-13,MT,1738.5
2022-02-13,NC,16852.1
2022-02-13,ND,1470.7
2022-02-13,NE,3067.0
2022-02-13,NH,2081.2
2022-02-13,NJ,13584.1
2022-02-13,NM,2766.4
2022-02-13,NV,5653.7
2022-02-13,NY,33756.5
2022-02-13,OH,20385.1
2022-02-13,OK,6286.1
2022-02-13,OR,5438.1
2022-02-13,PA,23054.1
2022-02-13,PR,4867.2
2022-02-13,RI,1720.8
2022-02-13,SC,8061.1
2022-02-13,SD,1337.3
2022-02-13,TN,12823.0
2022-02-13,TX,45330.7
2022-02-13,UT,3098.6
2022-02-13,VA,11935.3
2022-02-13,VI,101.7
2022-02-13,VT,849.1
2022-02-13,WA,9333.3
2022-02-13,WI,7652.0
2022-02-13,WV,3861.4
2022-02-13,WY,594.7
2022-02-20,AK,975.8
2022-02-20,AL,10238.5
2022-02-20,AR,5469.8
