state,date,series_complete_yes,booster_doses
AZ,2022-03-27,4423244.571428572,1789540.7142857143
AZ,2022-04-03,4432342.75,1800497.75
CA,2022-01-02,26204696.0,8891986.0
CA,2022-01-09,26322471.42857143,9272947.57142857
CA,2022-01-16,26529523.85714286,10035950.285714285
CA,2022-01-23,26859641.0,10713465.42857143
CA,2022-01-30,27158796.85714286,11749803.285714285
CA,2022-02-06,27358127.714285713,12538656.42857143
CA,2022-02-13,27504937.714285713,12852767.42857143
CA,2022-02-20,27651541.0,13082355.57142857
CA,2022-02-27,27778124.285714287,13275554.42857143
CA,2022-03-06,27868159.85714286,13484348.857142856
CA,2022-03-13,27942826.714285713,13638399.57142857
CA,2022-03-20,28008997.714285713,13746259.0
CA,2022-03-27,28058376.714285713,13846880.142857144
CA,2022-04-03,28088125.25,13906666.25
CO,2022-01-02,3818744.0,1570799.0
CO,2022-01-09,3832138.714285714,1619361.2857142857
CO,2022-01-16,3854917.5714285714,1709072.5714285714
CO,2022-01-23,3893295.8571428573,1789341.0
CO,2022-01-30,3918744.4285714286,1854058.5714285714
CO,2022-02-06,3935170.4285714286,1897745.2857142857
CO,2022-02-13,3953513.714285714,1932312.7142857143
CO,2022-02-20,3968711.0,1959662.0
CO,2022-02-27,3981024.0,1980532.2857142857
CO,2022-03-06,3989922.4285714286,1996361.0
CO,2022-03-13,3998276.5714285714,2011147.142857143
CO,2022-03-20,4005370.4285714286,2023141.142857143
CO,2022-03-27,4011448.4285714286,2034813.4285714286
CO,2022-04-03,4015371.5,2042495.25
CT,2022-01-02,2667658.0,1048108.0
CT,2022-01-09,2676330.4285714286,1088242.0
CT,2022-01-16,2693137.714285714,1159188.4285714286
CT,2022-01-23,2709918.0,1220847.2857142857
CT,2022-01-30,2723394.8571428573,1259719.857142857
CT,2022-02-06,2736331.5714285714,1293039.857142857
CT,2022-02-13,2750688.5714285714,1324135.2857142857
CT,2022-02-20,2761852.5714285714,1345994.4285714286
CT,2022-02-27,2770262.1428571427,1363389.4285714286
CT,2022-03-06,2776428.4285714286,1378001.142857143
CT,2022-03-13,2782224.285714286,1391815.0
CT,2022-03-20,2787047.1428571427,1403853.4285714286
CT,2022-03-27,2791097.714285714,1413544.7142857143
CT,2022-04-03,2794487.5,1421970.0
DC,2022-01-02,478298.0,133251.0
DC,2022-01-09,479538.14285714284,137317.7142857143
DC,2022-01-16,483103.28571428574,145931.14285714287
DC,2022-01-23,488889.5714285714,153135.2857142857
DC,2022-01-30,492648.5714285714,158938.7142857143
DC,2022-02-06,495442.14285714284,163596.0
DC,2022-02-13,498218.28571428574,167296.7142857143
DC,2022-02-20,501026.5714285714,170834.2857142857
DC,2022-02-27,503466.5714285714,173730.0
DC,2022-03-06,505769.85714285716,176807.14285714287
DC,2022-03-13,507504.0,179052.57142857142
DC,2022-03-20,508873.5714285714,181307.57142857142
DC,2022-03-27,511999.28571428574,184217.42857142858
DC,2022-04-03,513860.25,186355.0
DE,2022-01-02,625671.0,217041.0
DE,2022-01-09,628350.7142857143,225778.14285714287
DE,2022-01-16,632333.2857142857,238501.85714285713
DE,2022-01-23,638276.5714285715,250428.0
DE,2022-01-30,643148.2857142857,263214.5714285714
DE,2022-02-06,646661.2857142857,271943.85714285716
DE,2022-02-13,650462.4285714285,278625.14285714284
DE,2022-02-20,653713.0,282918.5714285714
DE,2022-02-27,656840.1428571428,286474.4285714286
DE,2022-03-06,659101.0,288839.71428571426
DE,2022-03-13,661296.7142857143,291241.0
DE,2022-03-20,662889.4285714285,292892.85714285716
DE,2022-03-27,664133.8571428572,294410.85714285716
DE,2022-04-03,664990.25,295368.0
FL,2022-01-02,13620380.0,4316782.0
FL,2022-01-09,13666892.714285715,4493186.857142857
FL,2022-01-16,13744442.57142857,4778169.571428572
FL,2022-01-23,13858668.285714285,4973460.571428572
FL,2022-01-30,13944408.57142857,5122560.142857143
FL,2022-02-06,14004326.142857144,5218428.714285715
FL,2022-02-13,14058102.0,5294895.285714285
FL,2022-02-20,14104762.57142857,5355658.857142857
FL,2022-02-27,14143025.42857143,5404979.142857143
FL,2022-03-06,14178165.142857144,5456311.714285715
FL,2022-03-13,14206332.285714285,5498332.571428572
FL,2022-03-20,14229852.142857144,5531857.285714285
FL,2022-03-27,14251668.0,5565976.428571428
FL,2022-04-03,14267421.25,5589888.0
GA,2022-01-02,5438749.0,1555982.0
GA,2022-01-09,5451916.428571428,1592764.7142857143
GA,2022-01-16,5486823.142857143,1687757.0
GA,2022-01-23,5549631.0,1782383.7142857143
GA,2022-01-30,5596231.0,1854053.4285714286
GA,2022-02-06,5626018.0,1896775.857142857
GA,2022-02-13,5651790.0,1927547.2857142857
GA,2022-02-20,5668617.0,1956328.7142857143
GA,2022-02-27,5684421.0,1982326.0
GA,2022-03-06,5702213.285714285,2004910.0
GA,2022-03-13,5719445.142857143,2027065.0
GA,2022-03-20,5734458.857142857,2044447.7142857143
GA,2022-03-27,5745550.714285715,2058872.857142857
GA,2022-04-03,5752314.25,2068661.0
GU,2022-01-02,127114.0,32884.0
GU,2022-01-09,127435.42857142857,33626.71428571428
GU,2022-01-16,128313.71428571429,36073.57142857143
GU,2022-01-23,129144.71428571429,39154.0
GU,2022-01-30,130248.14285714286,41933.142857142855
GU,2022-02-06,131353.2857142857,44818.0
GU,2022-02-13,132452.85714285713,47656.0
GU,2022-02-20,133630.57142857142,49860.28571428572
GU,2022-02-27,134714.14285714287,51890.142857142855
GU,2022-03-06,135552.7142857143,53681.42857142857
GU,2022-03-13,136181.14285714287,55217.71428571428
GU,2022-03-20,137189.7142857143,57115.28571428572
GU,2022-03-27,137947.0,58296.28571428572
GU,2022-04-03,138235.5,58915.75
HI,2022-01-02,0.0,0.0
HI,2022-01-09,0.0,0.0
HI,2022-01-16,0.0,0.0
HI,2022-01-23,0.0,0.0
HI,2022-01-30,0.0,0.0
HI,2022-02-06,0.0,0.0
HI,2022-02-13,0.0,0.0
HI,2022-02-20,0.0,0.0
HI,2022-02-27,0.0,0.0
HI,2022-03-06,0.0,0.0
HI,2022-03-13,0.0,0.0
